reform_id,country,year,reform_name,category,cli_score,cli_tv,cli_ja,cli_th,cli_pw,cli_ad,outcome,success,public_support,poll_n,key_blocker,legal_challenges,estimated_impact,domain
ARG001,Argentina,1994,Art. 14bis labor flexibilization,Labor,0.87,0.92,0.95,0.88,0.82,0.68,Failed,0,62,2400,CSJN Vizzoti doctrine,15,High revenue gain,Labor rights
ARG002,Argentina,2000,Private pension system (AFJP elimination),Pensions,0.87,0.92,0.95,0.88,0.82,0.68,Failed,0,58,1800,CSJN acquired rights doctrine,8,Fiscal sustainability,Social security
ARG003,Argentina,2008,AFJP nationalization (finally successful),Pensions,0.87,0.92,0.95,0.88,0.82,0.68,Succeeded,1,71,2200,Political consensus override,3,Major fiscal impact,Social security
ARG004,Argentina,1995,Coparticipación federal reform,Fiscal,0.87,0.92,0.95,0.88,0.82,0.68,Failed,0,45,1500,Provincial veto,0,Federal revenue redistribution,Fiscal federalism
ARG005,Argentina,2016,Impuesto a las Ganancias threshold,Tax,0.79,0.91,0.72,0.45,0.68,0.95,Failed,0,68,2100,Treaty hierarchy (ILO 117),12,Revenue loss,Tax policy
ARG006,Argentina,1994,Republican form alteration attempt,Institutional,0.87,0.92,0.95,0.88,0.82,0.68,Failed,0,23,1200,Art. 1 entrenchment,0,Institutional stability,Republican form
BRA001,Brazil,2017,Lei 13.467 labor reform,Labor,0.34,0.28,0.35,0.42,0.25,0.58,Succeeded,1,42,3500,STF narrow interpretation,2,Economic flexibility,Labor rights
BRA002,Brazil,2019,Previdência reform (EC 103),Pensions,0.34,0.28,0.35,0.42,0.25,0.58,Succeeded,1,65,4200,Political support,5,Fiscal savings 800B BRL,Social security
BRA003,Brazil,2016,Teto dos gastos (EC 95),Fiscal,0.34,0.28,0.35,0.42,0.25,0.58,Succeeded,1,38,2800,Executive push,8,20-year spending cap,Fiscal policy
BRA004,Brazil,2015,Taxation of dividends proposal,Tax,0.34,0.28,0.35,0.42,0.25,0.58,Failed,0,51,2200,Business lobby,0,Progressive taxation,Tax policy
BRA005,Brazil,2020,Emergency constitutional amendment,Institutional,0.34,0.28,0.35,0.42,0.25,0.58,Succeeded,1,72,3100,Pandemic urgency,1,COVID-19 response,Emergency powers
BRA006,Brazil,2021,Administrative reform (PEC 32),Institutional,0.34,0.28,0.35,0.42,0.25,0.58,Failed,0,34,1900,Public sector resistance,0,Bureaucracy reduction,Administrative reform
DEU001,Germany,2003,Hartz IV labor reform,Labor,0.41,0.38,0.42,0.35,0.48,0.52,Succeeded,1,47,5200,BVerfG narrow Ewigkeitsklausel,12,Unemployment reduction,Labor market
DEU002,Germany,2007,Rente mit 67 pension reform,Pensions,0.41,0.38,0.42,0.35,0.48,0.52,Succeeded,1,55,4800,Coalition support,3,Pension sustainability,Social security
DEU003,Germany,2009,Schuldenbremse (debt brake),Fiscal,0.41,0.38,0.42,0.35,0.48,0.52,Succeeded,1,62,3900,Constitutional amendment,0,Fiscal discipline,Fiscal policy
DEU004,Germany,2013,Betreuungsgeld (childcare benefit cut),Social,0.41,0.38,0.42,0.35,0.48,0.52,Failed,0,41,2700,BVerfG federalism ruling,1,Federal-state conflict,Social policy
DEU005,Germany,2020,Carbon pricing system,Environmental,0.41,0.38,0.42,0.35,0.48,0.52,Succeeded,1,68,4100,Climate urgency,2,Emissions reduction,Environmental policy
DEU006,Germany,2021,Mietpreisbremse (rent control),Property,0.41,0.38,0.42,0.35,0.48,0.52,Partial,0.5,59,3300,BVerfG property rights limit,8,Housing affordability,Property rights
IND001,India,1978,Kerala Land Reforms Act,Property,0.79,0.85,0.88,0.72,0.65,0.75,Failed,0,71,8500,SC Basic Structure Doctrine,25,Agrarian redistribution,Property rights
IND002,India,1985,West Bengal land ceiling,Property,0.79,0.85,0.88,0.72,0.65,0.75,Failed,0,68,7200,Art. 31 property right entrenchment,18,Land reform,Property rights
IND003,India,2002,Gujarat labor law liberalization,Labor,0.79,0.85,0.88,0.72,0.65,0.75,Failed,0,44,5800,ILO Convention 87 hierarchy,22,Investment climate,Labor rights
IND004,India,2019,Citizenship Amendment Act,Institutional,0.79,0.85,0.88,0.72,0.65,0.75,Partial,0.5,35,9100,SC equality doctrine review,45,Citizenship criteria,Constitutional identity
IND005,India,2020,Agricultural reforms (3 farm laws),Economic,0.79,0.85,0.88,0.72,0.65,0.75,Failed,0,52,12000,Farmers' protest + SC intervention,8,Market liberalization,Economic policy
IND006,India,2021,Pension reforms (NPS expansion),Pensions,0.79,0.85,0.88,0.72,0.65,0.75,Partial,0.5,61,6700,State-level resistance,12,Fiscal sustainability,Social security
ESP001,Spain,2010,Art. 135 fiscal stability reform,Fiscal,0.52,0.55,0.58,0.48,0.42,0.65,Succeeded,1,43,4200,EU pressure + amendment,2,Debt ceiling,Fiscal policy
ESP002,Spain,2012,Labor reform (PP government),Labor,0.52,0.55,0.58,0.48,0.42,0.65,Succeeded,1,38,3800,TC moderate review,15,Flexibility increase,Labor market
ESP003,Spain,2013,Pension indexation change,Pensions,0.52,0.55,0.58,0.48,0.42,0.65,Succeeded,1,34,2900,Austerity context,5,Pension sustainability,Social security
ESP004,Spain,2017,Catalonia independence referendum,Institutional,0.52,0.55,0.58,0.48,0.42,0.65,Failed,0,48,5500,TC Art. 2 unity doctrine,0,Territorial integrity,Constitutional identity
ESP005,Spain,2021,Euthanasia legalization,Social,0.52,0.55,0.58,0.48,0.42,0.65,Succeeded,1,67,4100,Progressive majority,3,Individual rights expansion,Social policy
ESP006,Spain,2022,Abortion law reform,Social,0.52,0.55,0.58,0.48,0.42,0.65,Succeeded,1,72,4400,Legislative majority,1,Reproductive rights,Social policy
CHL001,Chile,2019,Constitutional convention call,Institutional,0.81,0.88,0.82,0.75,0.68,0.78,Succeeded,1,78,8200,Social pressure,0,New constitution process,Constitutional reform
CHL002,Chile,2022,New constitution rejection,Institutional,0.81,0.88,0.82,0.75,0.68,0.78,Failed,0,38,9500,Excessive lock-in perception,0,Constitutional replacement,Constitutional reform
CHL003,Chile,2016,Labor reform (union rights),Labor,0.81,0.88,0.82,0.75,0.68,0.78,Partial,0.5,54,3700,TC ILO 87 treaty hierarchy,8,Union strengthening,Labor rights
CHL004,Chile,2008,Pension reform (solidarity pillar),Pensions,0.81,0.88,0.82,0.75,0.68,0.78,Succeeded,1,69,4100,Broad consensus,2,Pension coverage expansion,Social security
